training_mode,mIoU_with_ignore,mIoU_without_ignore,avg_inference_time_ms
teacher,0.6340502500534058,0.6340502500534058,1.5590663219521206
regular,0.07353493571281433,0.07353493571281433,1.4284023466494946
response,0.12483726441860199,0.12483726441860199,1.621718082260122
feature,0.433796226978302,0.433796226978302,1.7961884063512366
teacher,0.6340502500534058,0.6340502500534058,1.6171676330101272
